date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/07/2025,ARKB,BITCOIN,BTC,ARKBTCUSD,"48,978","$4,358,591,713.72",100.00%
03/07/2025,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"929,494","$95,263,840.06",9.75%
03/07/2025,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"359,866","$77,072,501.22",7.89%
03/07/2025,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,344,115","$60,270,116.60",6.17%
03/07/2025,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,292,901","$44,113,782.12",4.52%
03/07/2025,ARKF,BLOCK INC,XYZ,852234103,"724,942","$43,351,531.60",4.44%
03/07/2025,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"685,136","$40,128,415.52",4.11%
03/07/2025,ARKF,ADYEN NV,ADYEN,BZ1HM42,"20,563","$36,878,714.83",3.78%
03/07/2025,ARKF,ROKU INC,ROKU,77543R102,"441,303","$35,127,718.80",3.60%
03/07/2025,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"428,873","$34,507,121.58",3.53%
03/07/2025,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"2,749,501","$34,231,287.45",3.50%
03/07/2025,ARKF,MERCADOLIBRE INC,MELI,58733R102,"16,362","$33,464,380.50",3.43%
03/07/2025,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"703,902","$28,226,470.20",2.89%
03/07/2025,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,"812,491","$28,039,064.41",2.87%
03/07/2025,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"43,983","$27,618,245.19",2.83%
03/07/2025,ARKF,SEA LTD-ADR,SE,81141R100,"173,038","$24,078,237.70",2.47%
03/07/2025,ARKF,UIPATH INC - CLASS A,PATH,90364P105,"1,688,765","$19,842,988.75",2.03%
03/07/2025,ARKF,DISCOVERY LTD,DSY,6177878,"1,747,512","$19,772,331.30",2.02%
03/07/2025,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"33,887","$18,414,534.67",1.89%
03/07/2025,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,"426,236","$16,759,599.52",1.72%
03/07/2025,ARKF,LY CORP,4689,6084848,"4,613,996","$16,263,941.79",1.67%
03/07/2025,ARKF,AMAZON.COM INC,AMZN,023135106,"75,771","$15,207,239.70",1.56%
03/07/2025,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"128,481","$15,005,295.99",1.54%
03/07/2025,ARKF,REDDIT INC-CL A,RDDT,75734B100,"94,862","$14,297,600.64",1.46%
03/07/2025,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,320,118","$14,059,256.70",1.44%
03/07/2025,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"135,771","$13,688,432.22",1.40%
03/07/2025,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"38,204","$13,284,676.92",1.36%
03/07/2025,ARKF,INTUIT INC,INTU,461202103,"21,471","$13,019,370.27",1.33%
03/07/2025,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,"171,536","$11,678,170.88",1.20%
03/07/2025,ARKF,IBOTTA INC-CL A,IBTA,451051106,"293,927","$11,031,080.31",1.13%
03/07/2025,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"62,631","$10,625,349.15",1.09%
03/07/2025,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"140,515","$10,407,946.05",1.07%
03/07/2025,ARKF,NVIDIA CORP,NVDA,67066G104,"91,580","$10,126,000.60",1.04%
03/07/2025,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"74,111","$9,987,939.47",1.02%
03/07/2025,ARKF,BILL HOLDINGS INC,BILL,090043100,"167,095","$7,963,747.70",0.82%
