Year,Mo,Dy,Tsu,Eq,Name,Location,Country,latitude,longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,date
1990,2,2,,,Sheveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,,2/2/1990
1990,2,10,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4,"T,P",35,1,,,,,,,,,35,1,,,,,,,,,2/10/1990
1990,3,26,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,2,G,1,1,,,,,,,,,1,1,,,,,,,,,3/26/1990
1990,4,18,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,2,G,1,1,,,,,,,,,1,1,,,,,,,,,4/18/1990
1990,5,29,,,Coropuna,Peru,Peru,-15.52,-72.65,6377,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,,5/29/1990
1990,6,24,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.246,152.194,688,Pyroclastic shield,,G,6,1,,,,,,,,,6,1,,,,,,,,,6/24/1990
1990,7,19,,,Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,3,T,4,1,,,,,,,,,4,1,,,,,,,,,7/19/1990
1990,10,19,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,2,G,1,1,,,,,,,,,1,1,,,,,,,,,10/19/1990
1990,11,21,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,,S,1,1,,,,,,,,,1,1,,,,,,,,,11/21/1990
1990,11,25,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,m,4,1,,,,,,,,,4,1,,,,,,,,,11/25/1990
1991,6,3,,,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,1,P,43,1,,,,,,,,,43,1,,,,,,,,,6/3/1991
1991,6,15,,5292,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,"P,m,I",350,3,,,4,1,,3,,,800,3,,,4,1,,3,,,6/15/1991
1991,6,1,,,Mutnovsky,Kamchatka,Russia,52.449,158.196,2288,Complex volcano,,I,1,1,,,,,,,,,1,1,,,,,,,,,6/1/1991
1991,7,3,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,2,,,,,,,,,1,,,,,,,,,,1,,,7/3/1991
1991,8,8,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,5,,,,,,,,,1,,,,,,,,,,1,,,8/8/1991
1991,10,24,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,1,"T,P",1,1,,,,,,,,,1,1,,,,,,,,,10/24/1991
1991,12,14,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2,,,,,,,,2.5,2,,,,,,,,,2.5,2,,,12/14/1991
1992,1,21,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2,M,2,1,,,,,,,,,2,1,,,,,,,,,1/21/1992
1992,3,18,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,,G,1,1,,,2,1,,,,,1,1,,,2,1,,,,,3/18/1992
1992,4,10,,,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,Cinder cone,3,"T,I",11,1,,,50,1,3,2,,1,11,1,,,50,1,3,2,,1,4/10/1992
1992,5,11,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1,P,6,1,,,1,1,,,,,6,1,,,1,1,,,,,5/11/1992
1992,7,5,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,2,T,1,1,,,5,1,,,,,1,1,,,5,1,,,,,7/5/1992
1992,7,12,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m,6,1,,,,,,,,,6,1,,,,,,,,,7/12/1992
1992,9,17,,,Spurr,Alaska-SW,United States,61.299,-152.251,3374,Stratovolcano,4,I,1,1,,,,,2,2,,,1,1,,,,,2,2,,,9/17/1992
1992,1,1,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,3,1,,,,,,,,,3,1,,,,,,,,,1/1/1992
1993,1,14,,,Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,2,T,9,1,,,,,,,,,9,1,,,,,,,,,1/14/1993
1993,1,21,,,Wurlali,Banda Sea,Indonesia,-7.125,128.675,868,Stratovolcano,,m,1,1,,,12,1,,,,,1,1,,,12,1,,,,,1/21/1993
